,법정동명,지하철역,버스정류소,서점,골프연습장업,목욕장업,세탁업,영화상영관,제과점영업,체력단련장업,구분없음,대규모점포,대형마트,백화점,복합쇼핑몰,쇼핑센터,시장,병원,약국,의원,치안센터,경찰서,119안전센터,공원수,노래방수,당구장,도서관,박물관미술관,우체국,음식점수,카페수,패스트푸드,경양식,분식,일식,중국식,한식,의료,생활편의시설,교통,쇼핑시설,장보기시설,생활복지시설,여가
309,현저동,1,15,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,5,2,0,0,1,0,0,4,1,2,16,0,0,2,4
310,북아현동,0,26,0,0,2,11,0,7,1,0,0,0,0,0,0,0,1,9,16,1,0,1,0,3,4,0,2,2,146,26,2,12,22,7,4,53,26,13,26,0,7,4,10
311,홍제동,2,75,2,4,6,18,0,17,10,4,0,0,0,0,0,0,1,30,53,0,1,0,4,22,10,0,0,0,456,41,7,23,42,19,12,237,84,24,77,2,21,1,50
312,대현동,0,12,1,0,2,2,2,6,3,0,1,0,0,0,0,0,0,6,10,0,1,0,1,4,0,0,0,0,265,68,4,44,29,18,17,84,16,4,12,1,7,1,10
313,대신동,0,11,1,0,0,1,2,3,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,1,44,5,0,6,4,3,1,18,6,1,11,1,3,1,4
314,신촌동,0,4,0,0,0,0,8,7,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,20,20,4,1,0,1,1,15,3,0,4,0,8,1,8
315,봉원동,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0
316,창천동,0,21,5,0,1,6,10,14,7,1,0,0,1,0,0,0,1,18,36,1,0,0,2,28,4,0,1,1,762,63,11,114,50,39,34,287,55,7,21,6,15,2,52
317,연희동,0,56,8,1,2,14,1,21,11,0,0,0,0,0,0,1,1,14,29,0,1,1,1,3,6,1,1,1,378,89,5,58,28,19,15,135,44,16,56,8,22,4,24
318,홍은동,0,97,2,6,3,18,0,12,6,2,0,0,0,0,0,0,1,15,22,0,2,1,3,9,8,1,0,0,350,43,3,31,35,11,14,165,38,21,97,2,14,4,32
319,북가좌동,0,44,3,0,1,19,0,11,10,2,0,0,0,0,0,0,0,13,36,0,1,1,1,13,6,0,0,0,287,38,3,25,23,10,8,138,49,20,44,3,13,2,30
320,남가좌동,0,42,1,1,2,11,0,15,8,4,0,0,0,0,0,2,1,23,44,0,1,0,2,18,8,1,0,0,393,55,8,20,32,13,20,206,68,13,42,1,21,2,37
321,아현동,2,22,2,2,1,10,0,3,6,0,0,0,0,0,0,0,1,10,49,1,0,0,3,1,4,1,0,0,164,20,4,3,15,8,5,62,60,11,24,2,3,2,16
322,공덕동,2,21,1,5,1,9,0,9,9,1,0,1,0,0,0,2,0,15,44,0,1,1,2,5,7,0,0,0,395,36,8,17,26,27,15,175,59,10,23,1,13,2,28
323,신공덕동,0,9,0,1,0,4,0,7,2,0,0,1,0,0,0,0,0,4,14,0,0,0,1,4,0,0,0,0,64,11,3,2,6,7,2,21,18,4,9,0,8,0,8
324,도화동,1,38,3,6,3,12,0,9,11,0,1,0,0,0,0,0,1,12,75,1,0,0,0,23,6,0,0,0,489,46,7,25,42,26,18,189,88,15,39,3,10,1,46
325,용강동,0,8,1,4,1,3,0,4,4,1,0,0,0,0,0,0,0,2,5,0,1,0,2,15,4,0,0,0,171,9,2,6,5,13,4,88,7,4,8,1,5,1,29
326,토정동,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,1,1,2,0,0,0,0
327,마포동,0,2,1,2,0,5,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,45,1,0,5,0,1,2,20,2,5,2,1,1,0,3
