기준년분기코드,행정동코드,집객시설수,관공서수,은행수,종합병원수,일반병원수,약국수,유치원수,초등학교수,중학교수,고등학교수,대학교수,백화점수,슈퍼마켓수,극장수,숙박시설수,공항수,철도역수,버스터미널수,지하철역수,버스정거장수
202203,11230705,145,9,4,1,,16,2,1,1,1,1,,,,2,,,,,35
202203,11260570,94,2,2,,1,11,,1,,,,,1,,,,,,,16
202203,11230710,86,3,5,1,,10,1,3,1,1,21,,,,,,,,,10
202203,11260620,119,4,2,,2,11,2,1,2,2,,,,,,,,,,33
202203,11260600,64,2,1,,1,7,1,2,2,1,,,,,,,,,,14
202203,11260680,127,3,2,1,,13,2,2,,,,,,,,,,,1,52
202203,11290705,160,7,2,,1,17,3,2,2,1,,,,,,,,,,55
202203,11290575,140,1,4,,1,13,1,2,2,1,11,,,,,,,,2,20
202203,11305575,88,2,1,,,9,1,,1,1,,,,,,,,,,35
202203,11290810,142,6,3,,,16,2,2,1,1,,,1,,2,,,,2,37
202203,11290780,71,1,,,,5,1,2,1,,1,,1,,,,,,,39
202203,11305625,71,3,,,,12,3,,,,,,,,,,,,1,14
202203,11320515,96,7,3,,3,12,1,3,,,,,,,,,,,,24
202203,11380551,135,2,3,1,,14,1,,,,,,,,,,,,2,51
202203,11410555,67,2,2,,1,7,1,1,,1,,,,,,,,,,20
202203,11440590,77,7,6,,1,10,2,1,,,,,,,,,,,1,22
202203,11410690,82,2,3,,1,9,,1,,,,,1,,1,,,,,21
202203,11440610,47,3,1,,,3,1,1,2,3,,,,,2,,,,,11
202203,11440710,45,2,1,,,2,1,,1,2,,,,,,,,,,21
202203,11470620,89,7,3,,,9,2,2,1,,,,,,,,,,,30
202203,11470600,44,3,,,1,4,2,1,2,,,,,,,,,,,12
202203,11470640,169,4,1,,,15,1,3,1,4,,,,,,,,,1,81
202203,11470611,62,6,1,,,10,2,,1,,,,,,,,,,,21
202203,11530530,184,7,12,1,1,21,1,1,,1,,,8,,18,,,,1,45
202203,11500641,69,5,1,,,5,2,3,2,1,1,,,,,,,,1,22
202203,11500605,39,2,,,,4,3,2,1,1,,,,,,,,,,14
202203,11530750,93,3,3,,,10,2,,,,,,1,,,,,,,26
202203,11545670,200,9,7,1,2,25,2,3,1,1,,,,,3,,,,1,51
202203,11560670,62,3,,,,,1,1,1,1,,,,,5,,,,,30
202203,11590630,151,3,2,,,14,,1,1,2,,,,,2,,,,2,32
202203,11620605,101,6,,,,9,3,1,,1,,,,,,,,,,42
202203,11620625,95,2,5,,,14,1,,1,1,,,2,,,,,,1,23
202203,11650550,30,1,3,,,2,,1,2,2,,,1,,,,,,1,4
202203,11680521,286,4,15,,4,42,,1,,,,,1,,,,,,2,23
202203,11650590,95,2,6,,,16,,1,,,,,1,,,,,,,22
202203,11650581,121,7,12,1,,12,,,1,,3,,,,,,,,3,33
202203,11680545,305,4,25,,5,30,1,1,2,2,,2,1,,,,,,2,18
202203,11680650,184,3,14,,2,25,,1,2,1,1,,,,,,,,,31
202203,11680630,152,4,12,1,1,18,,1,,,1,1,,,,,,,,16
202203,11680690,104,3,4,,,7,,2,1,1,,,,,,,,,,49
202203,11710562,148,3,5,,,18,,1,1,,,,,,,,,,1,13
202203,11680660,37,1,1,,,1,,1,2,,,,,,,,,,,30
202203,11710600,146,3,7,,2,27,3,2,,,,,,,,,,,2,20
202203,11740570,70,2,1,,,7,1,1,,,1,,1,,,,,,,12
202203,11740640,84,6,4,,2,9,1,2,1,,1,,,,,,,,1,20
202203,11710680,85,5,9,,,11,1,3,,1,,,,,,,,,,16
202203,11740700,113,5,4,1,,17,2,1,2,1,,,,,,,,,1,34
202203,11740685,217,6,10,1,4,34,4,3,1,,1,,,,,,,,1,32
202203,11110550,78,4,2,,,1,1,2,1,1,15,,,,,,,,,36
202203,11110690,22,3,,,,1,,1,,1,,,,,,,,,1,5
202203,11110700,39,3,1,,,3,1,,,,,,,,,,,,,12
202203,11140625,80,3,4,,1,9,,1,1,1,,,,,1,,,,,6
202203,11140645,31,2,,,,3,1,2,1,1,,,,,,,,,,6
202203,11140670,70,1,6,,,10,,,,,,,,,7,,,,,6
202203,11170630,108,4,9,,1,13,2,1,1,1,,,1,,,,,,3,23
202203,11200540,97,6,5,,,8,2,2,2,,,,,,,,,,1,29
202203,11170690,57,16,1,,,1,,1,1,,,,,,,,,,1,21
202203,11200550,126,5,4,1,,10,,2,1,2,52,,1,,,,,,1,34
202203,11200570,67,2,2,,,4,1,1,1,1,,,,,,,,,1,27
202203,11215750,94,2,4,,,14,1,1,,,,,,,,,,,2,22
202203,11200790,77,7,2,,,8,,1,,,,,1,,,,,,4,10
202203,11215780,42,4,,,1,5,,1,,1,,,,,,,,,,5
202203,11260575,140,4,1,1,,18,1,2,2,1,8,,,,1,,,,1,33
202203,11290660,105,3,4,,,10,2,3,1,1,,,1,,,,,,1,30
202203,11305645,121,2,,,,7,1,,1,,2,,,,,,,,3,53
202203,11320512,77,3,,,1,8,1,1,,,,,,,,,,,,44
202203,11350640,170,2,1,,2,19,1,1,1,,,,,,,,,,2,33
202203,11350621,76,2,3,,,7,,2,1,2,,,,,,,,,,18
202203,11410615,189,7,7,,1,16,,1,3,1,13,,,,1,,,,,71
202203,11440565,158,7,9,,,20,1,3,,1,,,2,,,,,,4,42
202203,11440585,132,4,7,,,15,2,1,,,,,,1,1,,,,1,37
202203,11470580,56,2,1,,,7,1,1,2,3,,,,,,,,,,8
202203,11500590,115,3,,,1,11,1,2,,,,,,,,,,,,29
202203,11545510,286,10,25,,1,21,2,,,,,,,,17,,,,2,108
202203,11560535,311,10,17,2,2,37,,1,,,1,,,,16,,,,1,40
202203,11560680,108,4,1,,1,14,1,1,,1,,,1,,2,,,,1,29
202203,11590605,168,6,6,1,,23,5,3,2,,16,,,,1,,,,,47
202203,11590620,116,4,6,,2,12,1,1,,,1,,,,1,,,,,13
202203,11620715,58,1,,,,5,,1,,,,,,,,,,,,34
202203,11620745,85,3,,,,7,,2,,1,,,,,3,,,,,44
202203,11650540,125,3,8,,,13,1,1,1,,,,,,,,,,2,23
202203,11620775,81,2,1,,,11,2,1,2,1,,,1,,,,,,,28
202203,11680510,255,3,14,,,36,2,1,1,2,,1,,,,,,,1,12
202203,11680610,197,6,26,,2,20,,2,1,1,,,,,,,,,2,39
202203,11680720,92,2,6,1,,15,2,2,1,2,,,,,,,,,1,32
202203,11710561,66,2,1,,,10,2,2,1,1,,,,,,,,,1,10
202203,11710531,46,2,,,,3,,1,,1,,,,,1,,,,1,8
