,법정동명,지하철역,버스정류소,서점,골프연습장업,목욕장업,세탁업,영화상영관,제과점영업,체력단련장업,구분없음,대규모점포,대형마트,백화점,복합쇼핑몰,쇼핑센터,시장,병원,약국,의원,치안센터,경찰서,119안전센터,공원수,노래방수,당구장,도서관,박물관미술관,우체국,음식점수,카페수,패스트푸드
127,주자동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,2.0,0.0
128,예장동,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,22.0,3.0,0.0
129,장충동1가,0,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.0,1.0,1.0,29.0,8.0,0.0
130,장충동2가,1,10,0,2,4,2,1,9,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,2,0.0,1.0,1.0,121.0,18.0,0.0
131,광희동1가,1,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,90.0,7.0,1.0
132,광희동2가,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0.0,0.0,0.0,19.0,5.0,0.0
133,쌍림동,0,2,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,1,0.0,0.0,0.0,46.0,12.0,0.0
134,을지로6가,0,8,16,4,1,0,14,6,1,0,7,0,0,0,2,0,0,7,12,0,0,0,0,2,9,0.0,0.0,0.0,269.0,57.0,11.0
135,을지로7가,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,26.0,9.0,1.0
136,을지로4가,1,4,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,4,14,0,0,0,0,0,3,0.0,0.0,0.0,58.0,12.0,1.0
137,을지로5가,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,3,0.0,0.0,0.0,41.0,7.0,0.0
138,주교동,1,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0.0,0.0,0.0,75.0,9.0,0.0
139,방산동,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,9.0,3.0,1.0
140,오장동,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0.0,0.0,0.0,55.0,11.0,0.0
