,읍면동명,관공서수,은행수,종합병원수,일반병원수,약국수,대학교수,백화점수,슈퍼마켓수,극장수,숙박시설수,공항수,철도역수,버스터미널수,지하철역수,버스정거장수
224,목3동,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0
225,목4동,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
226,목5동,3,3,1,0,2,0,0,0,0,0,0,0,0,0,3
227,신월1동,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
228,신월2동,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,신월3동,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
230,신월4동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,신월5동,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
232,신월6동,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
233,신월7동,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1
234,신정1동,3,1,0,0,1,0,0,0,0,0,0,0,0,0,2
235,신정2동,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
236,신정3동,2,0,0,0,3,0,0,0,0,0,0,0,0,1,3
237,신정4동,1,3,1,1,3,0,0,0,0,0,0,0,0,1,0
238,신정6동,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2
239,신정7동,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2
240,염창동,3,1,0,1,3,0,0,0,0,0,0,0,0,2,2
241,등촌제1동,0,2,0,1,1,0,0,0,0,0,0,0,0,1,1
242,등촌제2동,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
243,등촌제3동,3,1,1,2,3,0,0,0,0,0,0,0,0,0,3
244,화곡제1동,1,1,0,2,3,0,0,0,0,0,0,0,0,2,2
245,화곡제2동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
246,화곡제3동,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
247,화곡제4동,2,1,0,0,2,0,0,0,0,0,0,0,0,0,2
248,화곡본동,1,0,0,1,2,0,0,0,0,0,0,0,0,0,2
249,화곡제6동,3,2,0,0,1,2,0,0,0,0,0,0,0,0,2
250,화곡제8동,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2
251,가양제1동,2,3,0,0,3,0,0,0,0,2,0,0,0,3,3
252,가양제2동,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0
253,가양제3동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,발산제1동,1,3,1,2,3,0,0,1,0,0,0,0,0,0,3
255,우장산동,2,2,0,2,2,2,0,0,0,0,0,0,0,1,2
256,공항동,3,3,1,0,2,2,0,0,0,0,25,0,0,2,3
257,방화제1동,0,1,0,2,3,0,0,0,0,1,0,0,0,1,3
258,방화제2동,2,0,0,0,0,0,0,2,0,0,0,0,0,3,2
259,방화제3동,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1
260,신도림동,1,2,0,0,2,1,0,1,0,1,0,0,0,3,3
261,구로제1동,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2
262,구로제2동,3,3,1,1,3,0,0,2,0,3,0,0,0,1,3
263,구로제3동,3,3,0,0,3,0,0,0,0,3,0,0,0,0,3
264,구로제4동,2,1,0,0,2,0,0,1,0,3,0,0,0,1,1
265,구로제5동,2,2,0,2,3,1,1,0,0,0,0,0,0,1,3
266,가리봉동,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
267,고척제1동,2,2,1,1,1,2,0,2,0,3,0,0,0,0,2
268,고척제2동,2,1,0,1,2,0,0,0,0,0,0,0,0,0,3
269,개봉제1동,2,1,0,1,2,2,0,1,0,0,0,0,0,1,3
270,개봉제2동,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
271,개봉제3동,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1
272,오류제1동,2,2,0,0,2,0,0,0,0,0,0,0,0,1,1
273,오류제2동,1,0,0,1,1,0,0,0,0,0,0,0,0,1,3
274,수궁동,1,0,0,0,0,0,0,1,0,0,0,0,0,3,3
275,항동,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3
276,가산동,3,3,0,1,3,0,0,0,0,3,0,0,0,2,3
277,독산제1동,1,2,0,2,3,0,0,0,0,2,0,0,0,1,3
278,독산제2동,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
279,독산제3동,2,2,0,0,2,0,0,1,0,0,0,0,0,0,2
280,독산제4동,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
281,시흥제1동,3,3,1,2,3,0,0,0,0,2,0,0,0,1,3
282,시흥제2동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
283,시흥제3동,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
284,시흥제4동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
285,시흥제5동,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3
286,영등포본동,2,0,0,0,1,0,0,0,0,2,0,0,0,1,1
287,영등포동,3,3,1,2,3,1,0,0,0,3,0,0,0,1,3
288,여의동,3,3,1,0,3,0,0,0,0,0,0,0,0,3,3
289,당산제1동,3,2,0,1,1,0,0,0,0,3,0,0,0,2,1
290,당산제2동,3,2,0,0,3,0,0,0,0,0,0,0,0,2,3
291,도림동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
292,문래동,3,3,0,0,3,0,0,0,0,2,0,0,0,1,3
293,양평제1동,2,1,0,1,0,0,0,0,0,1,0,0,0,1,1
294,양평제2동,3,2,0,0,1,0,0,0,0,2,0,0,0,1,3
295,신길제1동,0,1,1,1,2,0,0,0,0,3,0,0,0,2,1
296,신길제3동,1,2,0,1,2,0,0,0,0,2,0,0,0,0,2
297,신길제4동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,신길제5동,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2
299,신길제6동,2,0,0,1,2,0,0,1,0,2,0,0,0,1,2
300,신길제7동,2,0,0,0,1,0,0,0,0,1,0,0,0,1,2
301,대림제1동,0,2,1,0,3,0,0,2,0,2,0,0,0,0,0
302,대림제2동,2,1,1,0,3,1,0,0,0,1,0,0,0,1,0
303,대림제3동,0,3,0,1,2,1,0,1,0,0,0,0,0,2,3
304,노량진제1동,2,2,0,0,2,1,0,0,0,2,0,0,0,3,3
305,노량진제2동,2,2,0,1,2,0,0,0,0,1,0,0,0,0,0
306,상도제1동,2,2,0,1,3,2,0,0,0,0,0,0,0,2,3
307,상도제2동,2,1,0,0,3,0,0,1,0,1,0,0,0,1,3
308,상도제3동,0,1,0,0,2,0,0,1,0,0,0,0,0,0,2
309,상도제4동,2,0,0,1,2,0,0,0,1,0,0,0,0,0,2
310,흑석동,3,2,1,0,3,2,0,0,0,1,0,0,0,0,3
311,사당제1동,2,2,0,2,2,1,0,0,0,1,0,0,0,0,0
312,사당제2동,1,1,0,0,2,0,0,0,0,2,0,0,0,2,2
313,사당제3동,1,0,0,0,0,2,0,1,0,0,0,0,0,1,2
314,사당제4동,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
315,사당제5동,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
316,대방동,2,2,0,0,3,0,0,0,0,0,0,0,0,2,3
317,신대방제1동,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
318,신대방제2동,3,3,1,0,3,0,0,0,0,0,0,0,0,0,2
319,보라매동,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
320,청림동,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
321,성현동,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
322,행운동,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0
323,낙성대동,0,1,0,0,1,2,0,0,0,2,0,0,0,0,3
324,청룡동,2,2,0,1,3,0,0,1,0,1,0,0,0,1,0
325,은천동,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3
326,중앙동,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0
327,인헌동,0,2,0,0,2,0,0,2,0,0,0,0,0,1,1
